holder_id,check,detail,severity
H0006889,nino_missing,NINO absent,blocking
H0006909,nino_missing,NINO absent,blocking
H0006929,nino_missing,NINO absent,blocking
H0006940,nino_malformed,NINO fails structure: disallowed_prefix,blocking
H0006944,address_incomplete,missing postcode,advisory
H0006945,nino_malformed,NINO fails structure: bad_format,blocking
H0006947,nino_missing,NINO absent,blocking
H0006953,nino_malformed,NINO fails structure: bad_format,blocking
H0006973,nino_missing,NINO absent,blocking
H0006995,nino_missing,NINO absent,blocking
H0007002,address_incomplete,missing address_line_1,advisory
H0007009,dob_missing,date_of_birth='',advisory
H0007013,nino_missing,NINO absent,blocking
H0007014,address_incomplete,missing address_line_1,advisory
H0007057,address_incomplete,missing postcode,advisory
H0007070,address_incomplete,missing address_line_1,advisory
H0007074,address_incomplete,missing postcode,advisory
H0007086,nino_malformed,NINO fails structure: suffix_blank,blocking
H0007090,nino_missing,NINO absent,blocking
H0007091,nino_missing,NINO absent,blocking
H0007099,address_incomplete,missing postcode,advisory
H0007104,nino_malformed,NINO fails structure: bad_format,blocking
H0007106,nino_missing,NINO absent,blocking
H0007116,nino_malformed,NINO fails structure: bad_format,blocking
H0007117,nino_malformed,NINO fails structure: suffix_blank,blocking
H0007125,address_incomplete,missing address_line_1,advisory
H0007127,address_incomplete,missing address_line_1,advisory
H0007136,address_incomplete,missing address_line_1,advisory
H0007145,dob_missing,date_of_birth='',advisory
H0007150,nino_missing,NINO absent,blocking
H0007154,nino_missing,NINO absent,blocking
H0007155,address_incomplete,missing address_line_1,advisory
H0007225,nino_missing,NINO absent,blocking
H0007238,nino_malformed,NINO fails structure: bad_format,blocking
H0007272,nino_missing,NINO absent,blocking
H0007279,address_incomplete,missing address_line_1,advisory
H0007281,nino_missing,NINO absent,blocking
H0007289,address_incomplete,missing address_line_1,advisory
H0007330,address_incomplete,missing address_line_1,advisory
H0007351,dob_missing,date_of_birth='',advisory
H0007360,nino_missing,NINO absent,blocking
H0007361,nino_missing,NINO absent,blocking
H0007373,address_incomplete,missing postcode,advisory
H0007390,nino_malformed,NINO fails structure: bad_format,blocking
H0007406,dob_missing,date_of_birth='',advisory
H0007411,nino_missing,NINO absent,blocking
H0007433,nino_missing,NINO absent,blocking
H0007434,address_incomplete,missing address_line_1,advisory
H0007445,address_incomplete,missing address_line_1,advisory
H0007519,nino_malformed,NINO fails structure: bad_format,blocking
H0007544,address_incomplete,missing address_line_1,advisory
H0007557,nino_missing,NINO absent,blocking
H0007571,dob_missing,date_of_birth='',advisory
H0007579,address_incomplete,missing postcode,advisory
H0007617,nino_malformed,NINO fails structure: bad_format,blocking
H0007676,nino_malformed,NINO fails structure: suffix_blank,blocking
H0007741,address_incomplete,missing address_line_1,advisory
H0007749,nino_malformed,NINO fails structure: bad_format,blocking
H0007757,address_incomplete,missing address_line_1,advisory
H0007759,dob_missing,date_of_birth='',advisory
H0007759,address_incomplete,missing postcode,advisory
H0007763,nino_missing,NINO absent,blocking
H0007774,nino_missing,NINO absent,blocking
H0007786,address_incomplete,missing postcode,advisory
H0007801,nino_missing,NINO absent,blocking
H0007815,address_incomplete,missing postcode,advisory
H0007821,nino_malformed,NINO fails structure: bad_format,blocking
H0007825,nino_missing,NINO absent,blocking
H0007837,nino_missing,NINO absent,blocking
H0007861,address_incomplete,missing address_line_1,advisory
H0007868,address_incomplete,missing postcode,advisory
H0007871,nino_missing,NINO absent,blocking
H0007907,nino_missing,NINO absent,blocking
H0007939,nino_malformed,NINO fails structure: disallowed_prefix,blocking
H0007948,nino_missing,NINO absent,blocking
H0007963,nino_missing,NINO absent,blocking
H0007972,dob_missing,date_of_birth='',advisory
H0008007,nino_malformed,NINO fails structure: suffix_blank,blocking
H0008018,nino_malformed,NINO fails structure: suffix_blank,blocking
H0008022,address_incomplete,missing address_line_1,advisory
H0008034,address_incomplete,missing postcode,advisory
H0008040,nino_missing,NINO absent,blocking
H0008042,nino_malformed,NINO fails structure: bad_format,blocking
H0008065,nino_malformed,NINO fails structure: bad_format,blocking
H0008072,nino_malformed,NINO fails structure: bad_suffix,blocking
H0008088,address_incomplete,missing postcode,advisory
H0008090,nino_missing,NINO absent,blocking
H0008098,dob_missing,date_of_birth='',advisory
H0008099,nino_missing,NINO absent,blocking
H0008099,address_incomplete,missing postcode,advisory
H0008105,address_incomplete,missing postcode,advisory
H0008108,nino_missing,NINO absent,blocking
H0008119,nino_missing,NINO absent,blocking
H0008122,address_incomplete,missing postcode,advisory
H0008129,nino_missing,NINO absent,blocking
H0008139,address_incomplete,missing postcode,advisory
H0008145,nino_missing,NINO absent,blocking
H0008177,nino_missing,NINO absent,blocking
H0008191,dob_missing,date_of_birth='',advisory
H0008194,nino_missing,NINO absent,blocking
H0008205,nino_malformed,NINO fails structure: bad_format,blocking
H0008222,dob_missing,date_of_birth='',advisory
H0008234,nino_malformed,NINO fails structure: suffix_blank,blocking
H0008257,address_incomplete,missing address_line_1,advisory
H0008263,address_incomplete,missing postcode,advisory
H0008295,address_incomplete,missing address_line_1,advisory
H0008297,nino_missing,NINO absent,blocking
H0008307,nino_missing,NINO absent,blocking
H0008321,dob_missing,date_of_birth='',advisory
H0008341,nino_missing,NINO absent,blocking
H0008356,nino_malformed,NINO fails structure: bad_suffix,blocking
H0008361,nino_malformed,NINO fails structure: suffix_blank,blocking
H0008377,dob_missing,date_of_birth='',advisory
H0008381,nino_missing,NINO absent,blocking
H0008401,nino_missing,NINO absent,blocking
H0008421,nino_missing,NINO absent,blocking
H0008432,address_incomplete,missing address_line_1,advisory
H0008437,nino_missing,NINO absent,blocking
H0008453,address_incomplete,missing address_line_1,advisory
H0008465,nino_missing,NINO absent,blocking
H0008465,address_incomplete,missing address_line_1,advisory
H0008512,nino_missing,NINO absent,blocking
H0008528,address_incomplete,missing postcode,advisory
H0008531,address_incomplete,missing postcode,advisory
H0008540,address_incomplete,missing address_line_1,advisory
H0008543,address_incomplete,missing postcode,advisory
H0008549,address_incomplete,missing address_line_1,advisory
H0008553,address_incomplete,missing address_line_1,advisory
H0008558,address_incomplete,missing address_line_1,advisory
H0008568,nino_missing,NINO absent,blocking
H0008616,address_incomplete,missing postcode,advisory
H0008619,nino_missing,NINO absent,blocking
H0008620,address_incomplete,missing address_line_1,advisory
H0008634,address_incomplete,missing address_line_1,advisory
H0008635,nino_malformed,NINO fails structure: bad_format,blocking
H0008636,nino_malformed,NINO fails structure: bad_suffix,blocking
H0008642,nino_malformed,NINO fails structure: bad_suffix,blocking
H0008659,address_incomplete,missing postcode,advisory
H0008666,nino_missing,NINO absent,blocking
H0008668,nino_missing,NINO absent,blocking
H0008672,nino_missing,NINO absent,blocking
H0008688,nino_missing,NINO absent,blocking
H0008698,address_incomplete,missing address_line_1,advisory
H0008702,address_incomplete,missing postcode,advisory
H0008714,nino_missing,NINO absent,blocking
H0008714,dob_missing,date_of_birth='',advisory
H0008717,nino_missing,NINO absent,blocking
H0008718,address_incomplete,missing postcode,advisory
H0008751,address_incomplete,missing address_line_1,advisory
H0008762,address_incomplete,missing postcode,advisory
H0008778,nino_missing,NINO absent,blocking
H0008821,nino_malformed,NINO fails structure: bad_format,blocking
H0008837,nino_missing,NINO absent,blocking
H0008840,nino_missing,NINO absent,blocking
H0008861,nino_missing,NINO absent,blocking
H0008867,address_incomplete,missing address_line_1,advisory
H0008882,nino_malformed,NINO fails structure: bad_format,blocking
H0008892,nino_missing,NINO absent,blocking
H0008905,address_incomplete,missing postcode,advisory
H0008936,nino_missing,NINO absent,blocking
H0008937,address_incomplete,missing address_line_1,advisory
H0008947,nino_missing,NINO absent,blocking
H0008950,nino_missing,NINO absent,blocking
H0008959,address_incomplete,missing postcode,advisory
H0008962,nino_missing,NINO absent,blocking
H0008964,dob_missing,date_of_birth='',advisory
H0008973,dob_missing,date_of_birth='',advisory
H0008973,address_incomplete,missing address_line_1,advisory
H0008975,nino_missing,NINO absent,blocking
H0008988,nino_malformed,NINO fails structure: bad_format,blocking
H0008991,address_incomplete,missing address_line_1,advisory
H0009011,nino_malformed,NINO fails structure: bad_format,blocking
H0009012,address_incomplete,missing postcode,advisory
H0009040,dob_missing,date_of_birth='',advisory
H0009057,nino_missing,NINO absent,blocking
H0009060,nino_missing,NINO absent,blocking
H0009084,nino_missing,NINO absent,blocking
H0009096,address_incomplete,missing address_line_1,advisory
H0009119,nino_missing,NINO absent,blocking
H0009137,dob_missing,date_of_birth='',advisory
H0009137,address_incomplete,missing postcode,advisory
H0009157,address_incomplete,missing address_line_1,advisory
H0009200,nino_missing,NINO absent,blocking
H0009203,nino_missing,NINO absent,blocking
H0009209,address_incomplete,missing postcode,advisory
H0009222,address_incomplete,missing postcode,advisory
H0009227,nino_missing,NINO absent,blocking
H0009228,address_incomplete,missing postcode,advisory
H0009237,nino_missing,NINO absent,blocking
H0009255,nino_malformed,NINO fails structure: bad_format,blocking
H0009301,nino_missing,NINO absent,blocking
H0009304,address_incomplete,missing postcode,advisory
H0009311,dob_missing,date_of_birth='',advisory
H0009315,nino_missing,NINO absent,blocking
H0009315,address_incomplete,missing postcode,advisory
H0009321,nino_malformed,NINO fails structure: bad_suffix,blocking
H0009358,nino_malformed,NINO fails structure: suffix_blank,blocking
H0009361,nino_missing,NINO absent,blocking
H0009363,address_incomplete,missing address_line_1,advisory
H0009370,nino_missing,NINO absent,blocking
H0009375,nino_missing,NINO absent,blocking
H0009389,nino_missing,NINO absent,blocking
H0009416,nino_malformed,NINO fails structure: disallowed_prefix,blocking
H0009433,nino_malformed,NINO fails structure: bad_format,blocking
H0009438,dob_missing,date_of_birth='',advisory
H0009443,nino_missing,NINO absent,blocking
H0009451,nino_malformed,NINO fails structure: bad_format,blocking
H0009452,address_incomplete,missing address_line_1,advisory
H0009463,dob_missing,date_of_birth='',advisory
H0009474,address_incomplete,missing address_line_1,advisory
H0009480,nino_missing,NINO absent,blocking
H0009488,address_incomplete,missing postcode,advisory
H0009495,address_incomplete,missing address_line_1,advisory
H0009509,nino_missing,NINO absent,blocking
H0009509,dob_missing,date_of_birth='',advisory
H0009509,address_incomplete,missing address_line_1,advisory
H0009511,address_incomplete,missing postcode,advisory
H0009522,address_incomplete,missing postcode,advisory
H0009525,address_incomplete,missing address_line_1,advisory
H0009534,nino_missing,NINO absent,blocking
H0009539,nino_malformed,NINO fails structure: bad_format,blocking
H0009556,address_incomplete,missing address_line_1,advisory
H0009576,nino_malformed,NINO fails structure: bad_suffix,blocking
H0009590,nino_missing,NINO absent,blocking
H0009596,dob_missing,date_of_birth='',advisory
H0009605,dob_missing,date_of_birth='',advisory
H0009609,nino_malformed,NINO fails structure: disallowed_prefix,blocking
H0009621,nino_missing,NINO absent,blocking
H0009630,nino_missing,NINO absent,blocking
H0009633,nino_malformed,NINO fails structure: bad_suffix,blocking
H0009634,address_incomplete,missing postcode,advisory
H0009641,nino_malformed,NINO fails structure: disallowed_prefix,blocking
H0009668,nino_malformed,NINO fails structure: suffix_blank,blocking
H0009669,dob_missing,date_of_birth='',advisory
H0009671,nino_missing,NINO absent,blocking
H0009675,nino_missing,NINO absent,blocking
H0009680,nino_malformed,NINO fails structure: disallowed_prefix,blocking
H0009685,nino_missing,NINO absent,blocking
H0009708,dob_missing,date_of_birth='',advisory
H0009723,address_incomplete,missing postcode,advisory
H0009730,nino_missing,NINO absent,blocking
H0009755,dob_missing,date_of_birth='',advisory
H0009757,nino_malformed,NINO fails structure: bad_format,blocking
H0009793,nino_malformed,NINO fails structure: bad_format,blocking
H0009813,nino_malformed,NINO fails structure: suffix_blank,blocking
H0009814,nino_malformed,NINO fails structure: suffix_blank,blocking
H0009818,nino_missing,NINO absent,blocking
H0009839,address_incomplete,missing postcode,advisory
H0009845,nino_malformed,NINO fails structure: bad_format,blocking
H0009847,nino_missing,NINO absent,blocking
H0009863,nino_missing,NINO absent,blocking
H0009867,nino_missing,NINO absent,blocking
H0009878,nino_missing,NINO absent,blocking
H0009880,nino_malformed,NINO fails structure: bad_format,blocking
H0009902,address_incomplete,missing postcode,advisory
H0009905,address_incomplete,missing postcode,advisory
H0009907,nino_missing,NINO absent,blocking
H0009908,nino_missing,NINO absent,blocking
H0009946,nino_missing,NINO absent,blocking
H0009950,address_incomplete,missing postcode,advisory
H0009959,address_incomplete,missing address_line_1,advisory
H0009974,address_incomplete,missing postcode,advisory
H0009984,nino_missing,NINO absent,blocking
H0009991,nino_missing,NINO absent,blocking
H0009993,nino_missing,NINO absent,blocking
H0009994,nino_missing,NINO absent,blocking
H0009995,dob_missing,date_of_birth='',advisory
H0010015,nino_missing,NINO absent,blocking
H0010034,nino_missing,NINO absent,blocking
H0010043,address_incomplete,missing postcode,advisory
H0010063,nino_malformed,NINO fails structure: bad_format,blocking
H0010078,dob_missing,date_of_birth='',advisory
H0010083,dob_missing,date_of_birth='',advisory
H0010087,address_incomplete,missing postcode,advisory
H0010088,address_incomplete,missing address_line_1,advisory
H0010089,nino_missing,NINO absent,blocking
H0010098,nino_malformed,NINO fails structure: suffix_blank,blocking
H0010155,address_incomplete,missing postcode,advisory
H0010173,dob_missing,date_of_birth='',advisory
H0010180,nino_malformed,NINO fails structure: bad_format,blocking
H0010186,address_incomplete,missing address_line_1,advisory
H0010187,nino_missing,NINO absent,blocking
H0010212,address_incomplete,missing address_line_1,advisory
H0010227,address_incomplete,missing postcode,advisory
H0010228,dob_missing,date_of_birth='',advisory
H0010230,nino_missing,NINO absent,blocking
H0010236,nino_malformed,NINO fails structure: bad_suffix,blocking
H0010243,address_incomplete,missing address_line_1,advisory
H0010253,nino_missing,NINO absent,blocking
H0010272,address_incomplete,missing address_line_1,advisory
H0010273,dob_missing,date_of_birth='',advisory
H0010280,address_incomplete,missing address_line_1,advisory
H0010284,nino_missing,NINO absent,blocking
H0010291,address_incomplete,missing address_line_1,advisory
H0010292,address_incomplete,missing address_line_1,advisory
H0010299,nino_malformed,NINO fails structure: bad_format,blocking
H0010301,nino_malformed,NINO fails structure: bad_suffix,blocking
H0010319,nino_missing,NINO absent,blocking
H0010324,address_incomplete,missing postcode,advisory
H0010327,address_incomplete,missing postcode,advisory
H0010334,address_incomplete,missing address_line_1,advisory
H0010335,address_incomplete,missing postcode,advisory
H0010346,nino_malformed,NINO fails structure: disallowed_prefix,blocking
H0010354,nino_missing,NINO absent,blocking
H0010367,nino_missing,NINO absent,blocking
H0010371,nino_malformed,NINO fails structure: bad_suffix,blocking
H0010373,address_incomplete,missing postcode,advisory
H0010378,address_incomplete,missing postcode,advisory
H0010402,nino_missing,NINO absent,blocking
H0010407,nino_missing,NINO absent,blocking
H0010441,nino_malformed,NINO fails structure: bad_format,blocking
H0010479,dob_missing,date_of_birth='',advisory
H0010483,address_incomplete,missing address_line_1,advisory
H0010486,dob_missing,date_of_birth='',advisory
H0010500,address_incomplete,missing postcode,advisory
H0010522,nino_malformed,NINO fails structure: suffix_blank,blocking
H0010526,nino_missing,NINO absent,blocking
H0010533,dob_missing,date_of_birth='',advisory
H0010560,nino_missing,NINO absent,blocking
H0010565,nino_missing,NINO absent,blocking
H0010576,nino_missing,NINO absent,blocking
H0010597,nino_missing,NINO absent,blocking
H0010597,address_incomplete,missing address_line_1,advisory
H0010598,nino_malformed,NINO fails structure: bad_format,blocking
H0010598,address_incomplete,missing address_line_1,advisory
H0010610,nino_missing,NINO absent,blocking
H0010612,address_incomplete,missing postcode,advisory
H0010628,address_incomplete,missing postcode,advisory
H0010681,address_incomplete,missing postcode,advisory
H0010706,nino_missing,NINO absent,blocking
H0010725,address_incomplete,missing postcode,advisory
H0010739,nino_malformed,NINO fails structure: bad_suffix,blocking
H0010741,dob_missing,date_of_birth='',advisory
H0010770,address_incomplete,missing address_line_1,advisory
H0010780,nino_malformed,NINO fails structure: disallowed_prefix,blocking
H0010795,nino_missing,NINO absent,blocking
H0010804,address_incomplete,missing postcode,advisory
H0010805,nino_missing,NINO absent,blocking
H0010830,nino_missing,NINO absent,blocking
H0010831,nino_missing,NINO absent,blocking
H0010832,address_incomplete,missing address_line_1,advisory
H0010838,dob_missing,date_of_birth='',advisory
H0010860,nino_missing,NINO absent,blocking
H0010866,nino_missing,NINO absent,blocking
H0010879,nino_missing,NINO absent,blocking
H0010891,nino_malformed,NINO fails structure: bad_suffix,blocking
H0010904,nino_missing,NINO absent,blocking
H0010927,dob_missing,date_of_birth='',advisory
H0010938,dob_missing,date_of_birth='',advisory
H0010952,nino_missing,NINO absent,blocking
H0010961,nino_missing,NINO absent,blocking
H0010987,nino_missing,NINO absent,blocking
H0011004,address_incomplete,missing postcode,advisory
H0011006,nino_missing,NINO absent,blocking
H0011015,nino_missing,NINO absent,blocking
H0011045,nino_malformed,NINO fails structure: suffix_blank,blocking
H0011086,dob_missing,date_of_birth='',advisory
H0011105,address_incomplete,missing address_line_1,advisory
H0011120,nino_missing,NINO absent,blocking
H0011127,nino_malformed,NINO fails structure: disallowed_prefix,blocking
H0011145,nino_missing,NINO absent,blocking
H0011152,nino_missing,NINO absent,blocking
H0011156,dob_missing,date_of_birth='',advisory
H0011167,nino_malformed,NINO fails structure: bad_format,blocking
H0011177,nino_missing,NINO absent,blocking
H0011211,dob_missing,date_of_birth='',advisory
H0011216,dob_missing,date_of_birth='',advisory
H0011224,nino_missing,NINO absent,blocking
H0011231,address_incomplete,missing address_line_1,advisory
H0011239,dob_missing,date_of_birth='',advisory
H0011248,nino_missing,NINO absent,blocking
H0011256,address_incomplete,missing address_line_1,advisory
H0011316,nino_missing,NINO absent,blocking
H0011327,nino_malformed,NINO fails structure: suffix_blank,blocking
H0011329,dob_missing,date_of_birth='',advisory
H0011333,nino_missing,NINO absent,blocking
H0011378,nino_malformed,NINO fails structure: disallowed_prefix,blocking
H0011378,address_incomplete,missing address_line_1,advisory
H0011395,address_incomplete,missing postcode,advisory
H0011434,dob_missing,date_of_birth='',advisory
H0011476,address_incomplete,missing postcode,advisory
H0011492,nino_malformed,NINO fails structure: bad_format,blocking
H0011492,dob_missing,date_of_birth='',advisory
H0011511,nino_malformed,NINO fails structure: bad_suffix,blocking
H0011525,nino_missing,NINO absent,blocking
H0011525,address_incomplete,missing address_line_1,advisory
H0011530,nino_missing,NINO absent,blocking
H0011538,nino_missing,NINO absent,blocking
H0011553,address_incomplete,missing address_line_1,advisory
H0011562,nino_malformed,NINO fails structure: bad_suffix,blocking
H0011591,nino_missing,NINO absent,blocking
H0011606,dob_missing,date_of_birth='',advisory
H0011611,address_incomplete,missing postcode,advisory
H0011621,nino_missing,NINO absent,blocking
H0011659,nino_malformed,NINO fails structure: bad_format,blocking
H0011659,dob_missing,date_of_birth='',advisory
H0011689,nino_missing,NINO absent,blocking
H0011697,nino_missing,NINO absent,blocking
H0011717,nino_malformed,NINO fails structure: suffix_blank,blocking
H0011733,nino_missing,NINO absent,blocking
H0011737,nino_malformed,NINO fails structure: bad_format,blocking
H0011741,nino_missing,NINO absent,blocking
H0011742,nino_malformed,NINO fails structure: disallowed_prefix,blocking
H0011760,nino_malformed,NINO fails structure: suffix_blank,blocking
H0011762,nino_malformed,NINO fails structure: disallowed_prefix,blocking
H0011781,nino_malformed,NINO fails structure: disallowed_prefix,blocking
H0011806,address_incomplete,missing address_line_1,advisory
H0011817,nino_malformed,NINO fails structure: bad_format,blocking
H0011821,nino_missing,NINO absent,blocking
H0011830,address_incomplete,missing address_line_1,advisory
H0011836,address_incomplete,missing postcode,advisory
H0011837,address_incomplete,missing address_line_1,advisory
H0011847,nino_missing,NINO absent,blocking
H0011859,nino_malformed,NINO fails structure: bad_format,blocking
H0011864,address_incomplete,missing address_line_1,advisory
H0011865,dob_missing,date_of_birth='',advisory
H0011880,nino_missing,NINO absent,blocking
H0011889,address_incomplete,missing address_line_1,advisory
H0011890,address_incomplete,missing address_line_1,advisory
H0011896,nino_malformed,NINO fails structure: bad_suffix,blocking
H0011909,address_incomplete,missing postcode,advisory
H0011917,nino_malformed,NINO fails structure: disallowed_prefix,blocking
H0011931,dob_missing,date_of_birth='',advisory
H0011934,address_incomplete,missing address_line_1,advisory
H0011947,nino_missing,NINO absent,blocking
H0012028,address_incomplete,missing address_line_1,advisory
H0012039,address_incomplete,missing postcode,advisory
H0012055,nino_missing,NINO absent,blocking
H0012057,nino_malformed,NINO fails structure: bad_format,blocking
H0012080,nino_missing,NINO absent,blocking
H0012108,address_incomplete,missing address_line_1,advisory
H0012121,nino_malformed,NINO fails structure: bad_format,blocking
H0012139,dob_missing,date_of_birth='',advisory
H0012155,address_incomplete,missing address_line_1,advisory
H0012157,nino_missing,NINO absent,blocking
H0012177,nino_missing,NINO absent,blocking
H0012206,address_incomplete,missing postcode,advisory
H0012207,nino_missing,NINO absent,blocking
H0012218,address_incomplete,missing address_line_1,advisory
H0012220,nino_missing,NINO absent,blocking
H0012233,nino_malformed,NINO fails structure: bad_format,blocking
H0012248,nino_missing,NINO absent,blocking
H0012256,dob_missing,date_of_birth='',advisory
H0012278,nino_malformed,NINO fails structure: bad_format,blocking
H0012280,nino_missing,NINO absent,blocking
H0012289,nino_malformed,NINO fails structure: bad_format,blocking
H0012336,nino_missing,NINO absent,blocking
H0012353,address_incomplete,missing address_line_1,advisory
H0012366,address_incomplete,missing postcode,advisory
H0012385,dob_missing,date_of_birth='',advisory
H0012386,nino_malformed,NINO fails structure: bad_suffix,blocking
H0012397,nino_malformed,NINO fails structure: bad_format,blocking
H0012402,nino_missing,NINO absent,blocking
H0012402,address_incomplete,missing postcode,advisory
H0012403,nino_missing,NINO absent,blocking
H0012407,nino_malformed,NINO fails structure: bad_suffix,blocking
H0012421,address_incomplete,missing address_line_1,advisory
H0012444,nino_missing,NINO absent,blocking
H0012454,address_incomplete,missing postcode,advisory
H0012458,nino_missing,NINO absent,blocking
H0012473,nino_missing,NINO absent,blocking
H0012476,dob_missing,date_of_birth='',advisory
H0012477,nino_malformed,NINO fails structure: suffix_blank,blocking
H0012494,address_incomplete,missing address_line_1,advisory
H0012495,dob_missing,date_of_birth='',advisory
H0012506,nino_missing,NINO absent,blocking
H0012523,nino_missing,NINO absent,blocking
H0012540,nino_missing,NINO absent,blocking
H0012557,address_incomplete,missing postcode,advisory
H0012562,nino_missing,NINO absent,blocking
H0012580,nino_missing,NINO absent,blocking
H0012581,nino_missing,NINO absent,blocking
H0012585,nino_missing,NINO absent,blocking
H0012606,address_incomplete,missing postcode,advisory
H0012610,address_incomplete,missing postcode,advisory
H0012631,address_incomplete,missing postcode,advisory
H0012654,nino_malformed,NINO fails structure: bad_suffix,blocking
H0012683,address_incomplete,missing postcode,advisory
H0012706,nino_malformed,NINO fails structure: bad_format,blocking
H0012710,address_incomplete,missing address_line_1,advisory
H0012712,nino_malformed,NINO fails structure: disallowed_prefix,blocking
H0012735,address_incomplete,missing postcode,advisory
H0012745,address_incomplete,missing address_line_1,advisory
H0012754,dob_missing,date_of_birth='',advisory
H0012759,nino_malformed,NINO fails structure: bad_suffix,blocking
H0012778,dob_missing,date_of_birth='',advisory
H0012782,address_incomplete,missing postcode,advisory
H0012790,address_incomplete,missing postcode,advisory
H0012791,nino_missing,NINO absent,blocking
H0012802,nino_missing,NINO absent,blocking
H0012807,address_incomplete,missing postcode,advisory
H0012815,address_incomplete,missing address_line_1,advisory
H0012820,address_incomplete,missing address_line_1,advisory
H0012828,address_incomplete,missing postcode,advisory
H0012835,address_incomplete,missing postcode,advisory
H0012846,address_incomplete,missing postcode,advisory
H0012848,nino_malformed,NINO fails structure: bad_format,blocking
H0012861,nino_malformed,NINO fails structure: bad_format,blocking
H0012865,nino_missing,NINO absent,blocking
H0012872,address_incomplete,missing address_line_1,advisory
H0012910,address_incomplete,missing address_line_1,advisory
H0012917,nino_missing,NINO absent,blocking
H0012942,nino_missing,NINO absent,blocking
H0012944,nino_malformed,NINO fails structure: bad_format,blocking
H0012945,nino_missing,NINO absent,blocking
H0012954,nino_missing,NINO absent,blocking
H0012957,nino_missing,NINO absent,blocking
H0013032,nino_missing,NINO absent,blocking
H0013057,nino_missing,NINO absent,blocking
H0013060,address_incomplete,missing address_line_1,advisory
H0013089,address_incomplete,missing address_line_1,advisory
H0013096,nino_missing,NINO absent,blocking
H0013104,dob_missing,date_of_birth='',advisory
H0013125,nino_missing,NINO absent,blocking
H0013162,nino_missing,NINO absent,blocking
H0013198,nino_missing,NINO absent,blocking
H0013205,address_incomplete,missing postcode,advisory
H0013217,nino_missing,NINO absent,blocking
H0013245,nino_missing,NINO absent,blocking
H0013257,nino_malformed,NINO fails structure: disallowed_prefix,blocking
H0013261,nino_malformed,NINO fails structure: bad_format,blocking
H0013264,nino_malformed,NINO fails structure: bad_suffix,blocking
H0013267,nino_missing,NINO absent,blocking
H0013296,nino_missing,NINO absent,blocking
H0013296,dob_missing,date_of_birth='',advisory
H0013302,nino_missing,NINO absent,blocking
H0013303,nino_missing,NINO absent,blocking
H0013322,address_incomplete,missing address_line_1,advisory
H0013343,nino_missing,NINO absent,blocking
H0013357,nino_missing,NINO absent,blocking
H0013360,address_incomplete,missing address_line_1,advisory
H0013390,nino_missing,NINO absent,blocking
H0013392,nino_malformed,NINO fails structure: bad_suffix,blocking
H0013394,nino_missing,NINO absent,blocking
H0013403,nino_malformed,NINO fails structure: bad_suffix,blocking
H0013408,nino_malformed,NINO fails structure: suffix_blank,blocking
H0013412,nino_missing,NINO absent,blocking
H0013418,address_incomplete,missing postcode,advisory
H0013420,nino_malformed,NINO fails structure: bad_suffix,blocking
H0013425,nino_malformed,NINO fails structure: disallowed_prefix,blocking
H0013451,nino_missing,NINO absent,blocking
H0013466,address_incomplete,missing postcode,advisory
H0013471,nino_missing,NINO absent,blocking
H0013473,nino_missing,NINO absent,blocking
H0013500,address_incomplete,missing address_line_1,advisory
H0013518,dob_missing,date_of_birth='',advisory
H0013526,address_incomplete,missing postcode,advisory
H0013538,dob_missing,date_of_birth='',advisory
H0013555,dob_missing,date_of_birth='',advisory
H0013559,dob_missing,date_of_birth='',advisory
H0013580,nino_missing,NINO absent,blocking
H0013581,address_incomplete,missing address_line_1,advisory
H0013590,nino_missing,NINO absent,blocking
H0013602,address_incomplete,missing address_line_1,advisory
H0013605,address_incomplete,missing address_line_1,advisory
H0013608,address_incomplete,missing postcode,advisory
H0013618,address_incomplete,missing postcode,advisory
H0013624,nino_malformed,NINO fails structure: bad_format,blocking
H0013635,nino_missing,NINO absent,blocking
H0013644,address_incomplete,missing address_line_1,advisory
H0013650,dob_missing,date_of_birth='',advisory
H0013664,address_incomplete,missing postcode,advisory
H0013666,nino_missing,NINO absent,blocking
H0013670,nino_malformed,NINO fails structure: disallowed_prefix,blocking
H0013672,address_incomplete,missing postcode,advisory
H0013676,nino_missing,NINO absent,blocking
H0013677,nino_malformed,NINO fails structure: bad_format,blocking
H0013684,address_incomplete,missing postcode,advisory
H0013694,nino_missing,NINO absent,blocking
H0013702,nino_malformed,NINO fails structure: disallowed_prefix,blocking
H0013715,nino_missing,NINO absent,blocking
H0013728,dob_missing,date_of_birth='',advisory
H0013739,nino_missing,NINO absent,blocking
H0013752,nino_missing,NINO absent,blocking
H0013775,nino_missing,NINO absent,blocking
H0013779,nino_missing,NINO absent,blocking
H0013790,nino_malformed,NINO fails structure: bad_format,blocking
H0013793,nino_missing,NINO absent,blocking
H0013794,nino_missing,NINO absent,blocking
H0013806,address_incomplete,missing postcode,advisory
H0013809,nino_malformed,NINO fails structure: bad_suffix,blocking
H0013810,dob_missing,date_of_birth='',advisory
H0013818,nino_malformed,NINO fails structure: bad_format,blocking
H0013830,dob_missing,date_of_birth='',advisory
H0013833,nino_malformed,NINO fails structure: bad_suffix,blocking
H0013847,nino_missing,NINO absent,blocking
H0013851,dob_missing,date_of_birth='',advisory
H0013861,nino_missing,NINO absent,blocking
H0013862,dob_missing,date_of_birth='',advisory
